index,Date Created,username,retweet count,text,id,airline,category
0,2023-04-19 16:20:56+00:00,leeinengland,0,@British_Airways how long should I wait for an agent to join? https://t.co/a5jR54XrVE,1.65E+18,British Airways,Neutral
1,2023-04-19 16:19:08+00:00,HoodlumDX,0,@AllMightFan2016 @Cristia16221819 @FierySonic1991 @cringesonicfan @S1lverProwler @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @rickastley @Pornhub @ZSc0tt @FNAFAlerts @SonicFan1214og @RealShadowFan01 @KitCamelot @Mark31X9 because sonic on fire tagged you smh,1.65E+18,British Airways,Negative
2,2023-04-19 16:18:37+00:00,AllMightFan2016,0,@Cristia16221819 @FierySonic1991 @HoodlumDX @cringesonicfan @S1lverProwler @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @rickastley @Pornhub @ZSc0tt @FNAFAlerts @SonicFan1214og @RealShadowFan01 @KitCamelot @Mark31X9 Me wondering why i'm here: https://t.co/OrDYuEJ7Vj,1.65E+18,British Airways,Neutral
3,2023-04-19 16:17:48+00:00,Cristia16221819,0,@Vilac420 @AllMightFan2016 @FierySonic1991 @HoodlumDX @cringesonicfan @S1lverProwler @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @rickastley @Pornhub @ZSc0tt @FNAFAlerts @SonicFan1214og @RealShadowFan01 @KitCamelot @Mark31X9 Me rn watching pure chaos in this thread,1.65E+18,British Airways,Negative
4,2023-04-19 16:14:50+00:00,SnakesAndStonez,0,@FierySonic1991 @Vilac420 @HoodlumDX @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @Everyone @real_scawthon @FNAFMovieUpdate @Alienware @FierySonicALT @Comfortable35 @RealSurgeFan420 @AppleSlipper @RealSurgefan01 what,1.65E+18,British Airways,Negative
5,2023-04-19 16:14:06+00:00,KenZeroHarm,0,"@CliffordAgius No caff for KL after midday! When I joined @British_Airways in ‘88 there were no tea-ladies, but every office on both bases had a pot of stewing pure caffeine! I didn’t sleep for many months.",1.65E+18,British Airways,Negative
6,2023-04-19 16:10:09+00:00,ydeeeee,0,"@British_Airways Thank you, I’ve submitted a formal complaint",1.65E+18,British Airways,Positive
7,2023-04-19 16:10:00+00:00,MT111tmd123,0,"Just completed my first trip on the @British_Airways #Dreamliner 787-9!
Aside from it being a brilliant flight, the crew on #BA905 today were above &amp; beyond amazing!!! https://t.co/rObtd9w24Z",1.65E+18,British Airways,Positive
8,2023-04-19 16:09:20+00:00,SaveECRewards,0,@fdmclaughlan @British_Airways @HeathrowAirport Did you also adjust the armrests to make the seats wider? The old bmi seats let you move the armrests into the middle a bit when in business config giving more space,1.65E+18,British Airways,Negative
9,2023-04-19 16:08:18+00:00,bacon_zebra,0,"@British_Airways what's the go with Combine my Avios, I moved mine from BAEC but they've vanished and haven't been credited to QR? Where are they?",1.65E+18,British Airways,Negative
10,2023-04-19 16:04:32+00:00,samuelbuckley,0,@British_Airways pretty disappointing not to receive any sort of acknowledgment / response to the complaint I raised… sent a month ago no response. Was the most horrific flight I’ve ever had - thank god the onward flights were all your partner airlines… much better airlines!,1.65E+18,British Airways,Negative
11,2023-04-19 16:03:32+00:00,Vilac420,0,@FierySonic1991 @HoodlumDX @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @Everyone @real_scawthon @FNAFMovieUpdate @Alienware @FierySonicALT @Comfortable35 @RealSurgeFan420 @AppleSlipper @RealSurgefan01 HOW DARE YOU TAKE MY @!! /j,1.65E+18,British Airways,Neutral
12,2023-04-19 16:02:32+00:00,HoodlumDX,0,@Flyor4 @Vilac420 @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @TwitterCreators ratio,1.65E+18,British Airways,Negative
13,2023-04-19 16:01:33+00:00,cringesonicfan,0,@Vilac420 @HoodlumDX @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @TwitterCreators Bitcoin,1.65E+18,British Airways,Negative
14,2023-04-19 16:01:24+00:00,hippynothipster,0,Non-functioning usb charger at my seat on both legs of my @British_Airways flights this week. You can’t make this shit up 🫠,1.65E+18,British Airways,Neutral
15,2023-04-19 16:00:58+00:00,cometstardustxd,0,@Vilac420 @HoodlumDX @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @TwitterCreators Commissions crypto crypto,1.65E+18,British Airways,Negative
16,2023-04-19 16:00:16+00:00,Vilac420,0,@FierySonic1991 @HoodlumDX @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @AmongUsGame @Everyone @real_scawthon WAIT HIS ACC IS LOCKED???,1.65E+18,British Airways,Positive
17,2023-04-19 15:59:50+00:00,cringesonicfan,0,@Vilac420 @HoodlumDX @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @TwitterCreators Onlyfans,1.65E+18,British Airways,Negative
18,2023-04-19 15:59:25+00:00,Harleen07956394,1,@UK_CAA I request for your intervention to help me resolve my dispute with @British_Airways - they are not refunding a cancelled ticket funds from COVID time to my account. Rather have a voucher which I can’t travel with. My money is stuck with BA for 3 years now,1.65E+18,British Airways,Negative
19,2023-04-19 15:59:02+00:00,Vilac420,0,"@MrGlitch145 @HoodlumDX @cringesonicfan @KixCamelot @FBI @sonic_hedgehog @NintendoAmerica @JFKLibrary @JohnCena @jackblack @Ubisoft @WWE @CIA @POTUS @ScottTheWoz @Caddicarus @BorisJohnson @trussliz @benshapiro @KenPenders @British_Airways @BBCBreaking @BBC @DoctorWho_BBCA @bbcdoctorwho @DoctorWhoNews @TwitterCreators
lost coinbase account metamask trust wallet crypto need essay written on a t shirt bitcoin doge shiba help boy i wish someone could offer me a fast Disney+ account or Netflix I am locked out of my accounts like YouTube Twitter #NFT -🌷",1.65E+18,British Airways,Neutral
20,2023-04-19 15:54:01+00:00,Muhamme6887828,0,@piersmorgan @British_Airways Sir please I need your help I want to have my freedom sir,1.65E+18,British Airways,Neutral
21,2023-04-19 15:53:44+00:00,EdgwareBubbles,0,"@gabi_runs @British_Airways Good luck Gabi, update us and some national newspapers too - if you are inconvenienced further.....",1.65E+18,British Airways,Neutral
22,2023-04-19 15:51:18+00:00,EoindpOC,0,"@AerLingus @British_Airways , it’s been 5 months. Still no bag. attached are the last communications I’ve had from you both this week. Can’t you just talk to each other and find my bag?? https://t.co/3gQXePUPAm",1.65E+18,British Airways,Negative
23,2023-04-19 15:51:12+00:00,crawfc_kent,0,"@andrewrtw @British_Airways At current fares to ORD in Club World, not surprised 

Many seasoned travellers also go American Airlines too",1.65E+18,British Airways,Positive
24,2023-04-19 15:50:58+00:00,fdmclaughlan,0,"@SaveECRewards @British_Airways @HeathrowAirport Wasn’t down by default, but did correct that before take off 😎",1.65E+18,British Airways,Negative
25,2023-04-19 15:49:54+00:00,rjh090384,0,@British_Airways I would hope so as it's avios booking,1.65E+18,British Airways,Positive
26,2023-04-19 15:49:24+00:00,lmcnaught82,0,@British_Airways do you any extended seatbelts for larger travellers? My jolly friend @stuartyman is currently in vegas eating his body weight in burgers. His return journey is going to be a tight squeeze. #prayforstuart,1.65E+18,British Airways,Negative
27,2023-04-19 15:46:26+00:00,RadarBoxCom,1,"Today's photo features this @British_Airways (BA CityFlyer) Embraer ERJ-190 passing in front of the Sun over Zurich. ✈️

📸: Luis Singer - https://t.co/OU4s5t9dwB

📡https://t.co/MRp2A5ScIF https://t.co/8a2sXdLedM",1.65E+18,British Airways,Positive
